3	64972	6576	1	0
3	64972	5171	1	0
1	64972	5319	1	0
2	64972	2413	1	0
2	64972	5224	1	0
2	64972	4950	1	0
2	64972	5725	1	0
3	64972	4468	1	0
3	64972	4051	1	0
2	64972	4650	1	0
2	64972	2377	1	0
1	64972	6666	1	0
3	64972	3677	1	0
2	64972	5261	1	0
3	64972	4019	1	0
3	64972	3611	1	0
1	64972	5751	1	0
3	64972	4771	1	0
2	64972	3326	1	0
1	64972	6618	1	0
3	64972	5631	1	0
1	64972	5768	1	0
2	64972	5769	1	0
1	64972	5082	1	0
2	64972	2121	1	0
3	64972	2854	1	0
2	64972	4407	1	0
1	64972	5694	1	0
3	64972	4699	1	0
2	64972	2302	1	0
2	64972	2014	1	0
2	64972	2736	1	0
3	64972	6472	1	0
2	64972	3075	1	0
2	64972	8783	1	0
2	64972	10491	1	0
3	64972	4239	1	0
3	64972	2876	1	0
1	64972	4006	1	0
2	64972	2996	1	0
3	64972	5758	1	0
1	64972	4892	1	0
3	64972	2884	1	0
3	64972	3462	1	0
1	64972	6633	1	0
1	64972	11178	1	0
3	64972	6197	1	0
2	64972	3791	1	0
3	64972	3580	1	0
2	64972	3136	1	0
1	64972	5429	1	0
3	64972	6426	1	0
2	64972	2997	1	0
1	64972	4281	1	0
3	64972	4329	1	0
1	64972	4468	1	0
3	64972	4462	1	0
3	64972	3048	1	0
3	64972	3630	1	0
1	64972	5793	1	0
2	64972	2769	1	0
2	64972	3571	1	0
3	64972	4435	1	0
3	64972	6037	1	0
2	64972	3606	1	0
3	64972	4342	1	0
2	64972	1951	1	0
1	64972	4329	1	0
2	64972	2312	1	0
3	64972	5048	1	0
3	64972	3637	1	0
3	64972	4269	1	0
1	64972	3414	1	0
1	64972	2968	1	0
2	64972	1955	1	0
1	64972	3274	1	0
2	64972	2297	1	0
3	64972	5095	1	0
3	64972	3680	1	0
3	64972	5265	1	0
1	64972	4411	1	0
3	64972	6420	1	0
3	64972	3011	1	0
2	64972	2574	1	0
3	64972	5399	1	0
2	64972	4965	1	0
1	64972	6249	1	0
2	64972	2222	1	0
2	64972	4943	1	0
1	64972	7228	1	0
3	64972	5227	1	0
3	64972	2813	1	0
1	64972	6014	1	0
2	64972	3991	1	0
2	64972	2716	1	0
2	64972	2445	1	0
1	64972	2746	1	0
1	64972	4305	1	0
2	64972	2281	1	0
3	64972	5016	1	0
1	64972	3159	1	0
3	64972	3157	1	0
2	64972	2719	1	0
3	64972	3450	1	0
3	64972	6039	1	0
1	64972	5184	1	0
3	64972	4190	1	0
3	64972	5793	1	0
1	64972	2928	1	0
1	64972	3511	1	0
2	64972	2503	1	0
3	64972	4295	1	0
1	64972	3427	1	0
1	64972	5040	1	0
1	64972	3593	1	0
2	64972	5567	1	0
3	64972	4322	1	0
2	64972	1879	1	0
2	64972	3590	1	0
2	64972	4331	1	0
1	64972	3702	1	0
3	64972	2713	1	0
2	64972	5282	1	0
3	64972	4032	1	0
2	64972	4592	1	0
1	64972	4058	1	0
1	64972	3634	1	0
3	64972	3646	1	0
3	64972	5225	1	0
3	64972	5850	1	0
2	64972	2402	1	0
3	64972	4154	1	0
3	64972	5751	1	0
1	64972	2899	1	0
3	64972	3893	1	0
3	64972	5529	1	0
1	64972	3665	1	0
3	64972	5668	1	0
2	64972	4220	1	0
3	64972	4968	1	0
2	64972	3555	1	0
2	64972	3263	1	0
